dur,proto,sbytes,dbytes,rate,sload,dload,sinpkt,dinpkt,sjit,djit,stcpb,dtcpb,tcprtt,ackdat,smean,dmean,response_body_len,label
0.040565,111,37232,3380,2292.616845,7201479.5,650807.375,0.788627,0.972585,47.463921,2.233948,2233952573,85490487,0.00082,0.000136,716,80,0,0
1.024908,111,534,354,16.586855,3754.483643,2419.729492,113.781556,138.115,7029.331957,202.959438,1701981402,3115583019,0.134479,0.076381,53,44,0,0
6e-06,120,200,0,166666.6608,133333328.0,0.0,0.006,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
6e-06,117,178,0,166666.6608,118666664.0,0.0,0.006,0.0,0.0,0.0,0,0,0.0,0.0,89,0,0,0
0.012297,111,2334,16290,5936.407348,1476783.0,10319265.0,0.341343,0.312351,21.123299,19.55669,298159124,2448101102,0.000885,0.000155,65,429,0,0
0.0,6,46,0,0.0,0.0,0.0,60001.104,0.0,0.0,0.0,0,0,0.0,0.0,46,0,0,0
0.521583,111,998,86,13.420682,12761.15137,659.530701,104.3166,0.003,6214.080205,0.0,1278315388,1303422337,0.429764,0.143456,166,43,0,0
0.781729,111,998,86,8.95451,8514.459961,440.050201,156.3458,0.002,7872.740629,0.0,770784474,67138942,0.438216,0.295447,166,43,0,0
8e-06,118,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.222517,111,424,8824,85.386735,13338.30664,290818.2188,31.736287,20.186637,2166.349216,1722.836206,31168603,632889373,0.000582,0.000121,53,735,0,0
3e-06,118,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.528093,111,6042,217382,532.103267,90605.25781,3275196.0,5.440577,2.882989,1196.249249,870.789285,548162037,552955095,0.000689,0.000188,62,1181,0,0
1e-06,118,200,0,1000000.003,800000000.0,0.0,0.001,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.626298,111,826,1182,30.336996,9503.462891,13590.97363,69.588667,61.961109,4349.268528,109.693047,1848637315,492152586,0.105251,0.037404,83,118,169,0
5e-06,118,200,0,200000.0051,160000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.517536,111,534,268,28.983492,7435.231934,3462.561279,53.332222,90.531797,3101.484243,122.504906,70087937,3679576708,0.127318,0.062451,53,45,0,0
0.105413,111,5488,192828,2381.11055,411789.8125,14544924.0,1.222,0.643429,65.800704,39.34254,3177678859,3177168524,0.000663,0.000132,62,1176,0,0
0.829014,111,1068,760,22.918793,9447.367188,6417.261719,66.784274,106.78,3609.455915,129.215172,898356482,3421148067,0.18278,0.101232,89,95,0,1
0.89003,111,816,1370,21.347594,6606.518555,11082.77246,98.892222,92.185109,5733.525676,136.328937,2492374366,657538735,0.110769,0.050756,82,137,235,0
0.050206,111,2854,30622,1852.368175,444887.0625,4777915.0,1.107044,1.046617,69.604651,67.199895,3531502625,1394271244,0.001212,0.000202,62,638,0,0
3e-06,117,104,0,333333.3215,138666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,52,0,0,0
1.774803,111,3039,1652,23.101155,13076.38086,7076.841797,84.514429,89.709633,3980.631135,104.766727,804836135,1640157391,0.153688,0.084128,138,83,0,1
0.550015,111,546,268,27.271985,7156.168945,3258.093018,56.739111,94.120797,2924.150656,140.326766,2677821425,585707142,0.198646,0.119238,55,45,0,0
0.003916,111,8928,320,4851.889663,16937692.0,545454.5625,0.301231,0.5874,17.342958,0.990164,1069304524,1080974822,0.000673,0.000152,638,53,0,0
6.824353,111,180,0,0.439602,158.25676,0.0,2274.78425,0.0,3217.01875,0.0,0,0,0.0,0.0,45,0,0,0
1.1e-05,118,200,0,90909.0902,72727272.0,0.0,0.011,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
6e-06,111,90,0,166666.6608,59999996.0,0.0,0.006,0.0,0.0,0.0,0,0,0.0,0.0,45,0,0,0
0.184204,111,748,1276,92.288985,29271.89453,48511.43359,20.467111,23.834857,1162.289593,39.909699,1759258242,1491523650,0.024731,0.013078,75,160,238,1
1.4e-05,95,104,0,71428.57045,29714286.0,0.0,0.014,0.0,0.0,0.0,0,0,0.0,0.0,52,0,0,1
0.210491,111,776,268,71.261954,26566.45703,8513.427734,21.863667,40.811199,1191.054637,71.575547,3490900215,271126300,0.050743,0.044309,78,45,0,1
0.02698,111,1540,1644,1223.128261,428169.0313,460489.25,1.7796,1.559647,112.820472,3.178005,3386265856,1246369272,0.000605,0.000143,96,91,0,0
0.679706,111,27760,642,63.262648,316525.0938,6932.40918,21.313258,56.154816,1622.664414,68.767531,3100951520,544267958,0.097908,0.035907,868,54,0,0
3e-06,27,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
5e-06,21,200,0,200000.0051,160000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
3e-06,118,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
1.713162,111,1192,838,13.425467,5169.388672,3525.644531,128.899159,175.187563,8221.765254,241.893969,4256363281,3095045611,0.209574,0.073101,85,84,0,0
0.001052,117,130,162,2851.711087,494296.5938,615969.625,0.007,0.008,0.0,0.0,0,0,0.0,0.0,65,81,0,0
4e-06,112,200,0,250000.0006,200000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.156841,111,5592,192828,1613.098668,282069.125,9775658.0,1.75818,0.959012,110.363015,58.923108,4203028051,4210781282,0.000657,0.000138,62,1176,0,0
1.1e-05,117,1064,0,90909.0902,386909088.0,0.0,0.011,0.0,0.0,0.0,0,0,0.0,0.0,532,0,0,0
7e-06,7,200,0,142857.1409,114285712.0,0.0,0.007,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.001052,117,130,162,2851.711087,494296.5938,615969.625,0.01,0.008,0.0,0.0,0,0,0.0,0.0,65,81,0,0
1.534596,77,2858,0,11.077834,14075.36621,0.0,90.270352,0.0,179.918469,0.0,0,0,0.0,0.0,159,0,0,1
0.440446,111,534,268,34.056389,8736.598633,4068.603271,46.82,72.726398,2442.930264,118.213234,630846532,4236191273,0.142,0.065189,53,45,0,0
0.016601,111,2854,30622,5602.072171,1345461.125,14449732.0,0.360978,0.341915,0.0,19.555248,3248790411,1110316339,0.000682,0.000155,62,638,0,0
10.32314,117,2128,0,0.290609,1236.833008,0.0,3441.04675,0.0,4866.3645,0.0,0,0,0.0,0.0,532,0,0,0
0.009519,111,1294,6596,3992.016133,1027839.125,5279546.5,0.542529,0.45035,0.0,39.264929,3137217328,3147870098,0.000621,0.000112,72,314,0,0
0.848082,111,534,354,20.045231,4537.296875,2924.245605,88.426333,110.977,5566.128845,176.772516,556285251,2194912468,0.119902,0.048663,53,44,0,0
1.124138,111,1684,10168,27.576685,11130.30566,68347.48438,86.444767,66.090529,8823.798281,7735.163041,1808489024,3959064640,0.000724,0.000129,120,565,3924,0
0.420722,111,956,1280,40.406729,16371.85547,21296.72266,46.746889,50.237285,2639.80658,77.712766,585554937,907031702,0.047486,0.026111,96,160,216,1
7.312841,77,10880,0,5.333085,11604.79199,0.0,187.50875,0.0,215.203906,0.0,0,0,0.0,0.0,272,0,0,1
8e-06,118,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
9e-06,118,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.035132,117,512,304,199.248558,87441.65625,51918.48047,6.693667,7.305333,9.455668,10.318573,0,0,0.0,0.0,128,76,0,0
0.861977,111,890,1220,19.722104,7434.073242,9912.097656,95.683444,114.302289,5251.211315,197.760812,3952644462,702362648,0.135767,0.07391,89,153,0,1
8e-06,118,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
2e-06,111,90,0,500000.0013,180000000.0,0.0,0.002,0.0,0.0,0.0,0,0,0.0,0.0,45,0,0,0
0.792824,111,840,1088,21.442339,7628.427246,9606.167969,88.091556,96.600859,4576.529755,142.387141,3719396875,1708993874,0.249603,0.133731,84,136,137,0
0.151192,111,5546,268,112.439816,269008.9375,11852.47949,12.569636,29.042,830.496043,49.0635,1748414242,4224412411,0.052954,0.04698,462,45,0,1
0.27437,111,11142,268,76.538976,304581.375,6531.326172,18.291333,50.28,1153.348335,67.646148,1980780724,4098086052,0.045923,0.023768,696,45,0,1
9e-06,12,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
3e-06,117,78,0,333333.3215,104000000.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,39,0,0,0
3e-06,118,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.0,6,46,0,0.0,0.0,0.0,60000.728,0.0,15.492027,0.0,0,0,0.0,0.0,46,0,0,0
1.007653,106,360,0,2.977215,2143.594971,0.0,335.884344,0.0,474.999437,0.0,0,0,0.0,0.0,90,0,0,1
1.212208,111,1580,7488,22.273405,9562.714844,46328.67969,110.166638,80.76513,11085.03012,9502.560669,4159904666,2035451801,0.000887,0.000173,132,468,3924,0
0.008884,111,2334,16290,8217.019675,2044124.375,14283657.0,0.244686,0.230472,14.141724,13.308434,78420307,78724165,0.000711,0.000134,65,429,0,0
0.94571,111,9904,354,24.320352,78544.16406,2622.368408,62.975268,117.57643,4551.130823,177.979047,916097353,3382520529,0.185522,0.062856,619,44,0,1
0.568629,111,1122,268,26.379237,14209.61621,3151.439453,63.077667,98.314602,3157.582061,153.465266,3023853906,2464171722,0.164035,0.086989,112,45,0,1
5e-06,20,200,0,200000.0051,160000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.048674,111,8928,424,431.44185,1362698.75,60977.11328,3.744154,6.852,401.783897,16.376669,1487447271,1802470236,0.000662,0.000136,638,53,0,0
3.794172,111,908,354,4.480556,1724.750488,653.634033,416.306,534.271313,27578.29572,817.816563,1753644773,792724163,0.088947,0.034675,91,44,0,0
1.514099,111,818,1402,12.548717,3894.064941,6667.992188,168.233222,156.474672,12153.40857,256.190594,1485020156,3674126087,0.182991,0.078267,82,140,255,0
8e-06,118,200,0,90909.0902,72727272.0,0.0,0.011,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
21.912849,111,1996,172,0.68453,668.101135,47.095654,1992.077182,6953.4155,188622.5881,9833.611,548441276,2930507173,0.304375,0.112653,166,43,0,0
17.330788,77,12832,0,1.557921,5711.916016,0.0,641.881062,0.0,746.488812,0.0,0,0,0.0,0.0,458,0,0,1
0.786156,111,998,86,8.904085,8466.512695,437.572174,157.2312,0.005,9595.911398,0.0,2597242562,1403247841,0.668313,0.315607,166,43,0,0
3e-06,32,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.001103,117,146,178,2719.854899,529465.0625,645512.25,0.011,0.009,0.0,0.0,0,0,0.0,0.0,73,89,0,0
0.369883,111,486,268,40.553364,9473.265625,4844.775391,41.098111,55.674602,1972.767386,93.461719,3815754777,1797049495,0.077239,0.03767,49,45,0,0
8e-06,118,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
47.991306,77,14688,0,1.104367,2403.101807,0.0,950.841875,0.0,1150.92525,0.0,0,0,0.0,0.0,272,0,0,1
0.882833,111,5280,192828,279.781112,47284.14063,1736709.0,10.631976,5.412681,748.660036,521.661688,2407804961,2434775346,0.000673,0.000111,63,1176,0,0
5e-06,2,200,0,200000.0051,160000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.000998,117,146,178,3006.011927,585170.3125,713426.8125,0.008,0.006,0.0,0.0,0,0,0.0,0.0,73,89,0,0
0.526238,111,620,268,28.504212,8482.853516,3405.303223,58.470889,80.044602,2886.190006,143.099891,1769429647,2629251069,0.139502,0.048495,62,45,0,0
0.0,6,46,0,0.0,0.0,0.0,60000.736,0.0,0.0,0.0,0,0,0.0,0.0,46,0,0,0
2.300788,111,656,768,11.73511,2121.012451,2482.627686,176.909534,162.208234,10342.22411,237.062234,157631718,3234942647,0.245836,0.05376,47,55,0,0
0.659098,111,978,86,10.620575,9892.306641,521.925415,131.8196,0.009,6848.590082,0.0,206997505,3736679251,0.422833,0.244144,163,43,0,0
0.905028,111,2062,268,16.574073,16406.12305,1980.049316,95.725,164.877,5151.049593,257.955953,724842819,2422809908,0.159739,0.079104,206,45,0,0
2.406158,111,902,2352,8.727607,2749.611572,7038.606934,218.741636,261.201219,15256.35427,386.430719,2178844919,2727721067,0.137202,0.082458,75,235,0,1
0.619872,111,978,86,11.292654,10518.30078,554.953308,123.9744,0.009,6719.088672,0.0,2207230021,3957289685,0.439724,0.133406,163,43,0,0
3e-06,118,200,0,90909.0902,72727272.0,0.0,0.011,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.001042,117,146,178,2879.078645,560460.625,683301.3125,0.006,0.006,0.0,0.0,0,0,0.0,0.0,73,89,0,0
0.385488,111,638,268,38.911717,11932.92676,4648.65332,40.914222,59.806801,2344.329108,92.915586,714428729,1222714754,0.11783,0.031385,64,45,0,0
0.459448,111,1924,268,32.647872,30157.92773,3900.33252,46.601222,83.039,2569.792821,138.198844,2819922108,1990441419,0.090267,0.046025,192,45,0,1
0.426377,111,592,268,35.180134,10000.53906,4202.853516,43.408778,67.481602,2242.681028,98.248727,2839984154,3899998604,0.117524,0.028558,59,45,0,0
8e-06,118,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.446845,111,562,268,33.568688,9059.069336,4010.339111,48.316889,67.228398,2572.878734,103.13068,3439430083,588106427,0.189923,0.079229,56,45,0,0
0.031204,111,3806,52014,4134.085358,960646.0625,13133188.0,0.487889,0.472754,28.511361,28.849654,2402613984,2427943323,0.000607,0.000136,59,788,0,0
0.647605,111,1612,268,23.162267,17924.50586,2767.118896,66.010444,99.748,3626.702076,156.827219,1073080620,2849973589,0.273281,0.124424,161,45,0,0
9e-06,99,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
8e-06,118,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.638857,111,794,1334,26.610024,8953.490234,14626.12109,70.871778,78.94543,3523.599778,112.08407,2970620647,2030376744,0.125739,0.039508,79,167,265,0
3.522234,111,69580,2032,27.53934,155778.4063,4451.720215,51.046872,123.361219,5228.539023,226.244438,806414546,1373421295,0.248712,0.075289,994,73,0,1
1.168048,111,1580,10168,24.827746,9924.249023,65778.11719,106.150634,68.677356,9857.734702,7937.813895,192475111,2343152082,0.000655,0.000126,132,565,3924,0
9e-06,118,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
9e-06,74,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.546838,111,588,268,27.430428,7753.66748,3277.021729,57.981111,90.890602,2922.935733,136.946578,840989745,3214548238,0.179403,0.087027,59,45,0,0
0.064929,111,2854,30622,1432.333757,344006.5313,3694497.0,1.435578,1.370021,0.0,79.5095,2059600538,2090526555,0.00067,0.000135,62,638,0,0
0.004893,111,4560,2456,7153.076156,7041897.0,3793174.0,0.268882,0.254765,13.244637,0.337098,1889933067,4042843503,0.000704,0.000146,253,136,0,0
0.582287,111,534,268,25.760492,6608.424805,3077.52002,64.698556,99.801398,3503.37011,163.150281,4160845662,2300069476,0.128942,0.046382,53,45,0,0
5e-06,20,200,0,200000.0051,160000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
8e-06,119,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.014853,111,2766,24004,5992.055594,1456406.125,12648219.0,0.337581,0.318089,21.510009,20.295641,2610640098,2624190356,0.000679,0.000147,63,522,0,0
8e-06,92,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.000975,117,130,162,3076.92316,533333.375,664615.375,0.002,0.007,0.0,0.0,0,0,0.0,0.0,65,81,0,0
0.0,117,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,24,0,0,1
8e-06,10,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.001047,117,130,162,2865.329359,496657.0938,618911.125,0.01,0.009,0.0,0.0,0,0,0.0,0.0,65,81,0,0
8e-06,117,78,0,125000.0003,39000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,39,0,0,0
3e-06,75,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
7e-06,111,90,0,142857.1409,51428572.0,0.0,0.007,0.0,0.0,0.0,0,0,0.0,0.0,45,0,0,0
4e-06,118,200,0,250000.0006,200000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
8e-06,45,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.045749,111,4758,77276,3650.352917,821875.875,13356007.0,0.560778,0.531541,0.0,0.0,142183047,169546623,0.000722,0.000158,58,899,0,0
2e-06,111,90,0,500000.0013,180000000.0,0.0,0.002,0.0,0.0,0.0,0,0,0.0,0.0,45,0,0,0
3e-06,64,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.499214,111,810,1334,34.053533,11682.36523,18717.42383,55.468222,62.843,3118.25567,85.700648,2928318682,748901139,0.128158,0.069523,81,167,265,0
9e-06,118,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.009979,111,2334,16290,7315.36203,1819821.625,12716304.0,0.2756,0.239865,15.877479,13.671516,162276167,162536185,0.001231,0.000134,65,429,0,0
3e-06,42,180,0,333333.3215,239999984.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,90,0,0,1
3e-06,118,200,0,90909.0902,72727272.0,0.0,0.011,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
3e-06,24,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
1.165824,111,554,354,14.58196,3424.187256,2127.250732,125.469,155.274281,7273.520746,228.578266,2817885672,4014127149,0.189052,0.110154,55,44,0,0
2.161194,111,12144,27312,135.573201,44645.6875,100418.5625,14.896434,14.697694,1246.962333,1240.573164,3254569538,3250675725,0.000776,0.000153,83,185,0,0
0.004726,111,4256,2456,7405.83983,6804909.0,3927211.0,0.259353,0.250235,12.907883,0.32838,841138278,2993927169,0.000594,0.000128,236,136,0,0
0.866297,111,2516,268,17.315078,20916.61328,2068.574707,96.255222,149.561,5032.370319,261.268156,2152374057,1441186792,0.247267,0.129564,252,45,0,0
0.290909,111,832,962,58.43752,20597.50781,23155.00781,32.323222,35.95043,1592.770505,47.527051,866314972,1450465514,0.096,0.057449,83,120,54,1
0.374366,111,998,86,18.69828,17779.39258,918.886902,74.8732,0.007,4480.281219,0.0,402023695,1380743991,0.310304,0.219545,166,43,0,0
5e-06,30,180,0,200000.0051,144000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,90,0,0,1
0.327132,111,534,268,45.853052,11762.83594,5477.911133,33.405,54.623801,1777.850337,81.855195,2416802346,3299664251,0.11665,0.062643,53,45,0,0
9e-06,12,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
3e-06,118,200,0,200000.0051,160000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
1.658304,111,1822,354,10.251438,7911.697754,1495.503906,181.967222,221.567578,12046.80278,325.154094,2056810051,3067164996,0.159885,0.052563,182,44,0,0
9e-06,118,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
3e-06,37,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
7.6e-05,108,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,60,0,0,1
0.574296,111,794,678,43.531559,10280.41309,8664.521484,44.176614,49.71809,2169.849019,59.011887,1550861420,939336295,0.081164,0.054491,57,57,0,0
9e-06,66,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.475771,111,2550,354,35.731475,38589.99219,5212.591797,50.908889,62.247715,3453.916938,114.998695,4067976039,2229693551,0.085934,0.045906,255,44,0,0
0.069764,111,8928,424,301.014836,950748.1875,42543.42969,5.366462,9.869857,586.209086,23.760543,3408758983,1839385349,0.000602,0.00013,638,53,0,0
5e-06,30,180,0,200000.0051,144000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0.0,0.0,90,0,0,1
6.134329,111,180,0,0.489051,176.05838,0.0,2044.776375,0.0,2891.7385,0.0,0,0,0.0,0.0,45,0,0,0
0.0,6,46,0,0.0,0.0,0.0,60000.708,0.0,10.954516,0.0,0,0,0.0,0.0,46,0,0,0
0.783337,111,644,354,21.702026,5923.376465,3165.942627,87.037444,97.757859,5338.229367,160.841484,3946361608,3842646028,0.122893,0.053991,64,44,0,0
6e-06,118,200,0,166666.6608,133333328.0,0.0,0.006,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
0.0,6,46,0,0.0,0.0,0.0,60000.844,0.0,0.0,0.0,0,0,0.0,0.0,46,0,0,0
0.802397,77,2858,0,21.18652,26919.3418,0.0,47.199824,0.0,71.170156,0.0,0,0,0.0,0.0,159,0,0,1
0.596136,95,536,440,8.387348,5394.742188,2952.34668,198.712,0.008,281.009187,0.0,0,0,0.0,0.0,134,220,0,1
1.362293,111,2062,268,11.010847,10899.27051,1315.429199,151.365889,252.552594,8655.640751,449.294875,1046601677,3938904038,0.248813,0.149772,206,45,0,0
0.001078,117,146,178,2782.931502,541744.0,660482.4375,0.01,0.008,0.0,0.0,0,0,0.0,0.0,73,89,0,0
9e-06,118,200,0,111111.1072,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
1.172867,111,810,1088,16.199621,4972.431152,6684.475098,130.318556,121.568,7633.614943,210.976203,3047720470,640058350,0.238328,0.16018,81,109,68,1
8e-06,117,78,0,125000.0003,39000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,39,0,0,0
0.187912,111,998,86,37.251479,35420.83594,1830.644165,37.5824,0.037,2270.844503,0.0,675950545,3870683822,0.157702,0.072229,166,43,0,0
8e-06,93,200,0,125000.0003,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
4e-06,117,1248,0,250000.0006,1248000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0.0,0.0,624,0,0,0
3e-06,118,200,0,333333.3215,266666656.0,0.0,0.003,0.0,0.0,0.0,0,0,0.0,0.0,100,0,0,1
