dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
0.02144,111,0,1,16,18,1540,1644,1539.179152,31,29,538806.0,579477.625,4,4,1.408533,1.232765,84.789259,2.32773,255,386958044,391633146,255,0.000611,0.000479,0.000132,96,91,0,0,8,0,8,7,1,8,0,0,0,9,9,0,0
0.006645,111,0,1,4,7,216,664,1504.890879,31,29,195033.8594,686230.25,1,0,2.215,1.002,121.154288,68.556313,255,2380181924,2386524160,255,0.000505,0.000505,0.0,54,95,0,83,11,0,7,2,1,4,0,0,0,9,9,0,0
0.654121,111,0,0,6,2,998,86,10.701384,62,252,10175.48731,525.896606,2,1,130.8242,0.007,6677.124251,0.0,255,1290977313,993687273,255,0.39444,0.324445,0.069995,166,43,0,0,3,3,2,2,1,2,0,0,0,2,2,0,0
3e-06,118,0,2,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,3,3,3,4,0,0,0,3,4,0,1
0.0,6,0,2,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.688,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0
9e-06,20,0,2,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,2,4,0,1
0.000999,117,2,0,2,2,130,162,3003.002883,31,29,520520.5,648648.625,0,0,0.008,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,3,0,10,1,1,1,0,0,0,5,5,0,0
9e-06,117,0,2,2,0,2634,0,111111.1072,254,0,1170666624.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1317,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,1
0.559265,111,0,1,10,8,558,354,30.397038,254,252,7195.157715,4434.391602,2,1,58.659667,68.288141,3861.300395,112.338688,255,3588937690,175749929,255,0.119069,0.081245,0.037824,56,44,0,0,5,1,3,3,2,5,0,0,0,3,6,0,0
0.804861,111,9,1,42,22,31727,1874,78.274384,62,252,307849.4375,17781.95313,18,8,19.630757,37.831285,1371.576801,45.397289,255,3935790558,302112566,255,0.051332,0.006535,0.044797,755,85,0,0,1,1,1,1,1,1,0,0,0,2,1,0,1
0.106364,111,0,1,84,86,4862,80646,1588.883504,31,29,361400.5,5995186.5,7,36,1.27759,1.245282,81.081091,78.233813,255,2658620860,2672247707,255,0.000648,0.000511,0.000137,58,938,0,0,12,0,2,1,1,1,0,0,0,5,4,0,0
0.137653,111,0,1,96,164,5904,192828,1881.542813,31,29,339578.5313,11138327.0,10,71,1.445421,0.841135,84.090539,51.801711,255,857641351,3010839296,255,0.000698,0.000545,0.000153,62,1176,0,0,10,0,6,6,1,6,0,0,0,8,7,0,0
0.723183,111,0,1,10,6,534,268,20.741639,254,252,5320.921875,2477.934326,2,1,80.237,124.492203,4173.587672,203.591813,255,1365566981,2618813428,255,0.231863,0.100716,0.131147,53,45,0,0,6,1,1,1,1,5,0,0,0,1,5,0,0
1.213061,77,0,2,28,0,3024,0,22.257743,254,0,19230.68945,0.0,0,0,44.928184,0.0,48.961914,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,1
2.571533,111,5,1,18,48,1570,54838,25.276752,62,252,4613.590332,167047.4375,3,21,151.266647,49.977809,8731.207978,5956.972671,255,2358657037,118994921,255,0.252797,0.125887,0.12691,87,1142,0,0,1,1,1,1,1,1,0,0,0,2,1,0,1
0.040565,111,9,1,52,42,37232,3380,2292.616845,31,29,7201479.5,650807.375,18,8,0.788627,0.972585,47.463921,2.233948,255,2233952573,85490487,255,0.00082,0.000684,0.000136,716,80,0,0,1,0,2,1,1,1,0,0,0,2,1,0,0
1.024908,111,0,1,10,8,534,354,16.586855,254,252,3754.483643,2419.729492,2,1,113.781556,138.115,7029.331957,202.959438,255,1701981402,3115583019,255,0.134479,0.058098,0.076381,53,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0,0
6e-06,120,0,2,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,11,4,0,1
6e-06,117,0,2,2,0,178,0,166666.6608,29,0,118666664.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,89,0,0,0,2,0,1,1,1,1,0,0,0,2,1,0,0
0.012297,111,0,1,36,38,2334,16290,5936.407348,31,29,1476783.0,10319265.0,7,12,0.341343,0.312351,21.123299,19.55669,255,298159124,2448101102,255,0.000885,0.00073,0.000155,65,429,0,0,7,0,14,1,1,1,0,0,0,5,15,0,0
0.0,6,0,2,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60001.104,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
0.521583,111,0,0,6,2,998,86,13.420682,62,252,12761.15137,659.530701,2,1,104.3166,0.003,6214.080205,0.0,255,1278315388,1303422337,255,0.429764,0.286308,0.143456,166,43,0,0,3,3,3,2,1,4,0,0,0,2,4,0,0
0.781729,111,0,0,6,2,998,86,8.95451,62,252,8514.459961,440.050201,2,1,156.3458,0.002,7872.740629,0.0,255,770784474,67138942,255,0.438216,0.142769,0.295447,166,43,0,0,3,3,1,1,1,3,0,0,0,1,3,0,0
8e-06,118,0,2,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,12,7,0,1
0.222517,111,4,1,8,12,424,8824,85.386735,31,29,13338.30664,290818.2188,1,4,31.736287,20.186637,2166.349216,1722.836206,255,31168603,632889373,255,0.000582,0.000461,0.000121,53,735,0,0,3,0,6,1,1,4,0,0,0,4,3,0,0
3e-06,118,0,2,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,5,5,5,9,0,0,0,15,9,0,1
0.528093,111,0,1,98,184,6042,217382,532.103267,31,29,90605.25781,3275196.0,11,80,5.440577,2.882989,1196.249249,870.789285,255,548162037,552955095,255,0.000689,0.000501,0.000188,62,1181,0,0,8,0,3,3,1,3,0,0,0,7,7,0,0
1e-06,118,0,2,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,16,2,4,4,4,4,0,0,0,4,16,0,1
0.626298,111,5,1,10,10,826,1182,30.336996,62,252,9503.462891,13590.97363,2,2,69.588667,61.961109,4349.268528,109.693047,255,1848637315,492152586,255,0.105251,0.067847,0.037404,83,118,1,169,7,1,2,2,2,6,0,0,4,2,6,0,0
5e-06,118,0,2,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,1
0.517536,111,0,1,10,6,534,268,28.983492,254,252,7435.231934,3462.561279,2,1,53.332222,90.531797,3101.484243,122.504906,255,70087937,3679576708,255,0.127318,0.064867,0.062451,53,45,0,0,4,1,1,1,1,4,0,0,0,1,5,0,0
0.105413,111,0,1,88,164,5488,192828,2381.11055,31,29,411789.8125,14544924.0,10,71,1.222,0.643429,65.800704,39.34254,255,3177678859,3177168524,255,0.000663,0.000531,0.000132,62,1176,0,0,11,0,4,4,1,4,0,0,0,6,5,0,0
0.829014,111,0,1,12,8,1068,760,22.918793,254,252,9447.367188,6417.261719,3,2,66.784274,106.78,3609.455915,129.215172,255,898356482,3421148067,255,0.18278,0.081548,0.101232,89,95,0,0,2,1,1,1,1,1,0,0,0,2,1,0,1
0.89003,111,5,1,10,10,816,1370,21.347594,62,252,6606.518555,11082.77246,2,2,98.892222,92.185109,5733.525676,136.328937,255,2492374366,657538735,255,0.110769,0.060013,0.050756,82,137,1,235,4,1,1,1,1,4,0,0,1,1,4,0,0
0.050206,111,0,1,46,48,2854,30622,1852.368175,31,29,444887.0625,4777915.0,7,17,1.107044,1.046617,69.604651,67.199895,255,3531502625,1394271244,255,0.001212,0.00101,0.000202,62,638,0,0,7,0,3,1,1,2,0,0,0,2,3,0,0
3e-06,117,0,2,2,0,104,0,333333.3215,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0,0
1.774803,111,0,1,22,20,3039,1652,23.101155,62,252,13076.38086,7076.841797,8,8,84.514429,89.709633,3980.631135,104.766727,255,804836135,1640157391,255,0.153688,0.06956,0.084128,138,83,0,0,3,1,2,1,1,1,0,0,0,2,2,0,1
0.550015,111,0,1,10,6,546,268,27.271985,254,252,7156.168945,3258.093018,2,1,56.739111,94.120797,2924.150656,140.326766,255,2677821425,585707142,255,0.198646,0.079408,0.119238,55,45,0,0,5,1,1,1,1,5,0,0,0,1,5,0,0
0.003916,111,0,1,14,6,8928,320,4851.889663,31,29,16937692.0,545454.5625,4,1,0.301231,0.5874,17.342958,0.990164,255,1069304524,1080974822,255,0.000673,0.000521,0.000152,638,53,0,0,6,0,5,1,1,4,0,0,0,5,8,0,0
6.824353,111,0,3,4,0,180,0,0.439602,254,0,158.25676,0.0,3,0,2274.78425,0.0,3217.01875,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,11,6,2,1,1,10,0,0,0,2,10,0,0
1.1e-05,118,0,2,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,4,3,3,4,0,0,0,8,11,0,1
6e-06,111,0,3,2,0,90,0,166666.6608,254,0,59999996.0,0.0,1,0,0.006,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,7,6,2,1,1,7,0,0,0,2,7,0,0
0.184204,111,5,1,10,8,748,1276,92.288985,62,252,29271.89453,48511.43359,2,2,20.467111,23.834857,1162.289593,39.909699,255,1759258242,1491523650,255,0.024731,0.011653,0.013078,75,160,1,238,1,1,1,1,1,1,0,0,1,1,1,0,1
1.4e-05,95,0,2,2,0,104,0,71428.57045,254,0,29714286.0,0.0,0,0,0.014,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,1
0.210491,111,5,1,10,6,776,268,71.261954,254,252,26566.45703,8513.427734,2,1,21.863667,40.811199,1191.054637,71.575547,255,3490900215,271126300,255,0.050743,0.006434,0.044309,78,45,1,0,4,1,1,1,1,1,0,0,1,1,1,0,1
0.02698,111,0,1,16,18,1540,1644,1223.128261,31,29,428169.0313,460489.25,4,4,1.7796,1.559647,112.820472,3.178005,255,3386265856,1246369272,255,0.000605,0.000462,0.000143,96,91,0,0,18,0,9,7,1,7,0,0,0,9,17,0,0
0.679706,111,0,1,32,12,27760,642,63.262648,254,252,316525.0938,6932.40918,13,3,21.313258,56.154816,1622.664414,68.767531,255,3100951520,544267958,255,0.097908,0.062001,0.035907,868,54,0,0,5,1,2,2,1,5,0,0,0,2,5,0,0
3e-06,27,0,2,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,11,5,0,1
5e-06,21,0,2,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,10,3,0,1
3e-06,118,0,2,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,11,3,0,1
1.713162,111,0,1,14,10,1192,838,13.425467,254,252,5169.388672,3525.644531,3,2,128.899159,175.187563,8221.765254,241.893969,255,4256363281,3095045611,255,0.209574,0.136473,0.073101,85,84,0,0,2,1,1,1,1,2,0,0,0,1,2,0,0
0.001052,117,2,0,2,2,130,162,2851.711087,31,29,494296.5938,615969.625,0,0,0.007,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,4,1,1,1,0,0,0,1,5,0,0
4e-06,112,0,2,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,6,6,6,0,0,0,6,14,0,1
0.156841,111,0,1,90,164,5592,192828,1613.098668,31,29,282069.125,9775658.0,10,71,1.75818,0.959012,110.363015,58.923108,255,4203028051,4210781282,255,0.000657,0.000519,0.000138,62,1176,0,0,8,0,10,6,1,8,0,0,0,10,13,0,0
1.1e-05,117,0,2,2,0,1064,0,90909.0902,254,0,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,5,2,3,2,2,3,0,0,0,2,4,0,0
7e-06,7,0,2,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,4,4,4,4,0,0,0,4,9,0,1
0.001052,117,2,0,2,2,130,162,2851.711087,31,29,494296.5938,615969.625,0,0,0.01,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,5,0,5,2,1,2,0,0,0,7,4,0,0
1.534596,77,0,2,18,0,2858,0,11.077834,254,0,14075.36621,0.0,0,0,90.270352,0.0,179.918469,0.0,0,0,0,0,0.0,0.0,0.0,159,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,1
0.440446,111,0,1,10,6,534,268,34.056389,254,252,8736.598633,4068.603271,2,1,46.82,72.726398,2442.930264,118.213234,255,630846532,4236191273,255,0.142,0.076811,0.065189,53,45,0,0,1,1,2,1,1,1,0,0,0,1,2,0,0
0.016601,111,0,1,46,48,2854,30622,5602.072171,31,29,1345461.125,14449732.0,7,17,0.360978,0.341915,0.0,19.555248,255,3248790411,1110316339,255,0.000682,0.000527,0.000155,62,638,0,0,8,0,3,1,1,1,0,0,0,3,6,0,0
10.32314,117,0,2,4,0,2128,0,0.290609,254,0,1236.833008,0.0,0,0,3441.04675,0.0,4866.3645,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,36,2,12,12,1,35,0,0,0,12,35,0,0
0.009519,111,0,1,18,21,1294,6596,3992.016133,31,29,1027839.125,5279546.5,5,4,0.542529,0.45035,0.0,39.264929,255,3137217328,3147870098,255,0.000621,0.000509,0.000112,72,314,0,0,8,0,1,1,1,1,0,0,0,4,8,0,0
0.848082,111,0,1,10,8,534,354,20.045231,254,252,4537.296875,2924.245605,2,1,88.426333,110.977,5566.128845,176.772516,255,556285251,2194912468,255,0.119902,0.071239,0.048663,53,44,0,0,1,1,1,1,1,1,0,0,0,2,1,0,0
1.124138,111,5,1,14,18,1684,10168,27.576685,31,29,11130.30566,68347.48438,3,5,86.444767,66.090529,8823.798281,7735.163041,255,1808489024,3959064640,255,0.000724,0.000595,0.000129,120,565,1,3924,1,0,5,1,1,1,0,0,1,2,1,0,0
0.420722,111,5,1,10,8,956,1280,40.406729,62,252,16371.85547,21296.72266,2,2,46.746889,50.237285,2639.80658,77.712766,255,585554937,907031702,255,0.047486,0.021375,0.026111,96,160,1,216,2,1,1,1,1,1,0,0,1,1,1,0,1
7.312841,77,0,2,40,0,10880,0,5.333085,254,0,11604.79199,0.0,0,0,187.50875,0.0,215.203906,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,1
8e-06,118,0,2,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0,1
9e-06,118,0,2,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,1,5,0,1
0.035132,117,0,0,4,4,512,304,199.248558,31,29,87441.65625,51918.48047,0,0,6.693667,7.305333,9.455668,10.318573,0,0,0,0,0.0,0.0,0.0,128,76,0,0,5,0,5,1,1,4,0,0,0,5,7,0,0
0.861977,111,5,1,10,8,890,1220,19.722104,254,252,7434.073242,9912.097656,2,2,95.683444,114.302289,5251.211315,197.760812,255,3952644462,702362648,255,0.135767,0.061857,0.07391,89,153,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
8e-06,118,0,2,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,6,0,0,0,2,5,0,1
2e-06,111,0,3,2,0,90,0,500000.0013,254,0,180000000.0,0.0,1,0,0.002,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,5,6,2,1,1,5,0,0,0,2,5,0,0
0.792824,111,5,1,10,8,840,1088,21.442339,62,252,7628.427246,9606.167969,2,2,88.091556,96.600859,4576.529755,142.387141,255,3719396875,1708993874,255,0.249603,0.115872,0.133731,84,136,1,137,6,1,1,1,1,6,0,0,1,1,6,0,0
0.151192,111,5,1,12,6,5546,268,112.439816,254,252,269008.9375,11852.47949,3,1,12.569636,29.042,830.496043,49.0635,255,1748414242,4224412411,255,0.052954,0.005974,0.04698,462,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
0.27437,111,0,1,16,6,11142,268,76.538976,254,252,304581.375,6531.326172,5,1,18.291333,50.28,1153.348335,67.646148,255,1980780724,4098086052,255,0.045923,0.022155,0.023768,696,45,0,0,2,1,1,1,1,1,0,0,0,1,2,0,1
9e-06,12,0,2,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,1,1,1,6,0,0,0,1,6,0,1
3e-06,117,0,2,2,0,78,0,333333.3215,254,0,104000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,4,2,1,1,1,2,0,0,0,1,6,0,0
3e-06,118,0,2,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,4,3,3,10,0,0,0,4,9,0,1
0.0,6,0,2,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.728,0.0,15.492027,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0
1.007653,106,0,2,4,0,360,0,2.977215,254,0,2143.594971,0.0,0,0,335.884344,0.0,474.999437,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,1
1.212208,111,5,1,12,16,1580,7488,22.273405,31,29,9562.714844,46328.67969,3,4,110.166638,80.76513,11085.03012,9502.560669,255,4159904666,2035451801,255,0.000887,0.000714,0.000173,132,468,1,3924,2,0,3,1,1,1,0,0,1,7,1,0,0
0.008884,111,0,1,36,38,2334,16290,8217.019675,31,29,2044124.375,14283657.0,7,12,0.244686,0.230472,14.141724,13.308434,255,78420307,78724165,255,0.000711,0.000577,0.000134,65,429,0,0,11,0,2,1,1,1,0,0,0,5,2,0,0
0.94571,111,0,1,16,8,9904,354,24.320352,254,252,78544.16406,2622.368408,5,1,62.975268,117.57643,4551.130823,177.979047,255,916097353,3382520529,255,0.185522,0.122666,0.062856,619,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
0.568629,111,5,1,10,6,1122,268,26.379237,254,252,14209.61621,3151.439453,2,1,63.077667,98.314602,3157.582061,153.465266,255,3023853906,2464171722,255,0.164035,0.077046,0.086989,112,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
5e-06,20,0,2,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,23,2,6,6,6,6,0,0,0,8,18,0,1
0.048674,111,4,1,14,8,8928,424,431.44185,31,29,1362698.75,60977.11328,4,1,3.744154,6.852,401.783897,16.376669,255,1487447271,1802470236,255,0.000662,0.000526,0.000136,638,53,0,0,3,0,3,1,1,3,0,0,0,5,3,0,0
3.794172,111,0,1,10,8,908,354,4.480556,254,252,1724.750488,653.634033,2,1,416.306,534.271313,27578.29572,817.816563,255,1753644773,792724163,255,0.088947,0.054272,0.034675,91,44,0,0,7,1,4,1,1,6,0,0,0,3,10,0,0
1.514099,111,5,1,10,10,818,1402,12.548717,62,252,3894.064941,6667.992188,2,2,168.233222,156.474672,12153.40857,256.190594,255,1485020156,3674126087,255,0.182991,0.104724,0.078267,82,140,1,255,1,1,17,1,1,1,0,0,1,1,1,0,0
8e-06,118,0,2,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,5,4,4,4,0,0,0,4,10,0,1
21.912849,111,0,0,12,4,1996,172,0.68453,62,252,668.101135,47.095654,6,3,1992.077182,6953.4155,188622.5881,9833.611,255,548441276,2930507173,255,0.304375,0.191722,0.112653,166,43,0,0,3,3,1,1,1,4,0,0,0,1,3,0,0
17.330788,77,0,2,28,0,12832,0,1.557921,254,0,5711.916016,0.0,0,0,641.881062,0.0,746.488812,0.0,0,0,0,0,0.0,0.0,0.0,458,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,1
0.786156,111,0,0,6,2,998,86,8.904085,62,252,8466.512695,437.572174,2,1,157.2312,0.005,9595.911398,0.0,255,2597242562,1403247841,255,0.668313,0.352706,0.315607,166,43,0,0,4,3,2,2,1,4,0,0,0,2,4,0,0
3e-06,32,0,2,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,3,7,0,1
0.001103,117,2,0,2,2,146,178,2719.854899,31,29,529465.0625,645512.25,0,0,0.011,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,3,2,0,0
0.369883,111,0,1,10,6,486,268,40.553364,254,252,9473.265625,4844.775391,2,1,41.098111,55.674602,1972.767386,93.461719,255,3815754777,1797049495,255,0.077239,0.039569,0.03767,49,45,0,0,11,1,4,4,3,11,0,0,0,4,12,0,0
8e-06,118,0,2,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,4,4,4,7,0,0,0,21,7,0,1
47.991306,77,0,3,54,0,14688,0,1.104367,254,0,2403.101807,0.0,0,0,950.841875,0.0,1150.92525,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,6,1,1,1,1,0,0,0,1,1,0,1
0.882833,111,0,1,84,164,5280,192828,279.781112,31,29,47284.14063,1736709.0,10,71,10.631976,5.412681,748.660036,521.661688,255,2407804961,2434775346,255,0.000673,0.000562,0.000111,63,1176,0,0,4,0,4,3,1,3,0,0,0,3,18,0,0
